VBA;M03_Dialog 66;Für die Ausgewählte Spalte existiert noch kein Dialog;There is no dialog for the selected column yet;Er is nog geen dialoogvenster voor de geselecteerde kolom;Aucune boîte de dialogue n'existe pour la colonne sélectionnée;There is no dialog for the selected column yet;There is no dialog for the selected column yet;Der er endnu ingen dialog for den valgte kolonne
VBA;M03_Dialog 66;Kein Dialog vorhanden;No dialogue available;Geen dialoog beschikbaar;Aucun dialogue disponible;No dialogue available;No dialogue available;Ingen dialog tilgængelig
VBA;M03_Dialog 67;Soll die LED Gruppe über ;Should the LED group be controlled over ;Moet de LED-groep via ;Si le groupe LED se termine ;Should the LED group be controlled over ;Should the LED group be controlled over ;Skal LED-gruppen kontrolleres
VBA;M03_Dialog 67;" gesteuert werden?|
|
  Ja:     Der Effekt kann über eine Zentrale geschaltet werden.|
           Im Folgenden wird die Adresse zur Steuerung der|
           Funktion abgefragt. Das ist z.B. bei einem Haus oder|
           einem Signal sinnvoll.|
  Nein: Der Effekt ist dauerhaft aktiv. Das kann man z.B. bei|
           einer Ampel auswählen. Die Steuerung über ";" ? |
|
Yes: The effect can be switched via a traincontroller. |
        The address for controlling the function is queried. |
        That is for example useful for a house or a signal. |
|
No:  The effect is permanently active. You can e.g. at |
        select a traffic light. Control over ";" worden bestuurd? |
|
Ja:     Het effect kan worden geschakeld via de |
         Centrale (Command Station). Het adres voor het |
         besturen van de Functie zal worden gevraagd. |
         Dit is b.v. een huis of een lichtsignaal. |
|
Nee:  Het effect is permanent actief. Je kunt dit b.v. bij |
         een verkeerslicht selecteren. Besturing via  ";"Doit être contrôlé? |
|
Oui:  l'effet peut être commuté via un centre de contrôle. |
        L'adresse pour contrôler le Fonction interrogée. |
        C'est par exemple dans une maison ou un signal sinueux. |
|
Non: l'effet est actif en permanence. Vous pouvez par |
        exemple à sélectionnez un feu de circulation. |
        Contrôle sur ";" ? Yes: The effect can be switched via a traincontroller.         The address for controlling the function is queried.         This is e.g. at a house or a signal sinuous. No:  The effect is permanently active. You can e.g. at         select a traffic light. Control over ";" ? Yes: The effect can be switched via a traincontroller.         The address for controlling the function is queried.         This is e.g. at a house or a signal sinuous. No:  The effect is permanently active. You can e.g. at         select a traffic light. Control over ";? || Ja: Effekten kan skiftes via en traincontroller. | Adressen til styring af funktionen bliver spurgt. | Det er for eksempel nyttigt til et hus eller et signal. || Nej: Effekten er permanent aktiv. Du kan f.eks. ved | vælg et trafiklys. Kontrol over
VBA;M03_Dialog 77;           kann auch nachträglich aktiviert werden.;        can also be activated later.;         kan ook later worden geactiveerd.;        peut également être activé ultérieurement.;        can also be activated later.;        can also be activated later.;kan også aktiveres senere.
VBA;M03_Dialog 84;Steuerung über ;Control over ;Besturen via ;Contrôle sur ;Control over ;Control over ;Kontrol over
VBA;M03_Dialog 85; Kanal eingeben; Enter channel; Kanaal invoeren; Entrez la chaîne; Enter channel; Enter channel;Gå ind i kanalen
VBA;M03_Dialog 86; Adresse eingeben; Enter address; - Voer adres in?; - Entrez votre adresse?; Enter address; Enter address; Indtast adresse
VBA;M03_Dialog 99;Bitte ;Please enter ;Alstublieft ;S'il vous plaît ;Please enter ;Please enter ;Kom ind
VBA;M03_Dialog 100;" muss bei der Zentrale zur Steuerung der Funktion angegeben werden.|
|
Achtung: Bei manchen Funktionen werden mehrere ";" must be specified at the traincontroller center to control the function. |
|
Attention: With some functions there are several ";" moet worden opgegeven op de |
Centrale (Command Station) om de functie te kunnen bedienen. |
|
Let op: Bij sommige functies zijn er meerdere ";" doit être spécifié au centre de contrôle pour contrôler la fonction. |
|
Attention: Avec certaines fonctions, il existe plusieurs ";" must be specified at the traincontroller center to control the function. Attention: With some functions there are several ";" must be specified at the traincontroller center to control the function. Attention: With some functions there are several ";skal specificeres i traincontroller-centret for at styre funktionen. || Opmærksomhed: Med nogle funktioner er der flere
VBA;M03_Dialog 107;" belegt. Das Programm ergänzt den Bereich automatisch (Beispiel: 23 - 24)|
Es muss nur der Startwert ohne '- 24' eingegeben werden.";" used. The program automatically adds the range (example: 23 - 24) |
You only have to enter the start value without '- 24'.";" bezet. Het programma bepaald automatisch het bereik (voorbeeld: 23 - 24). |
U hoeft alleen de startwaarde '23' in te voeren zonder '- 24'.";" occupé. Le programme s'ajoute automatiquement à la plage (exemple: 23 - 24) |
Il suffit de saisir la valeur de départ sans '- 24'.";" used. The program automatically adds the range (example: 23 - 24) You only have to enter the start value without '- 24'.";" used. The program automatically adds the range (example: 23 - 24) You only have to enter the start value without '- 24'.";Brugt. Programmet tilføjer automatisk intervallet (eksempel: 23 - 24) | Du skal kun indtaste startværdien uden '- 24'.
VBA;M03_Dialog 111;Falsche Eingabe. ;Wrong entry.;Verkeerde invoer.;Mauvaise entrée.;Wrong entry.;Wrong entry.;Forkert indrejse.
VBA;M03_Dialog 113; muss zwischen ; must between ; moet tussen ; doit entre ; must between ; must between ;skal mellem
VBA;M03_Dialog 122; und ; and ; en ; et ; and ; and ;og
VBA;M03_Dialog 122; liegen. ; lie.; zijn.; Rangé.; lie.; lie.;ligge.
VBA;M03_Dialog 122;"Bitte die Bitposition eingeben [1..8]|
|
Die Bitposition muss bei der Zentrale zur Steuerung der Funktion angegeben werden.|
Achtung: Bei manchen Funktionen werden mehrere Bits belegt. Die Eingabe definiert das erste benutzte Bit.|
|
Bitposition: ";"Please enter the bit position [1..8] |
|
The bit position must be specified at the traincontroler to control the function. |
Caution: With some functions, several bits are occupied. The input defines the first bit used. |
|
Bit positions:";"Voer de bitpositie in [1..8] |
|
De bitpositie moet worden opgegeven in het besturingscentrum om de functie te besturen. |
Let op: Bij sommige functies zijn meerdere bits bezet. De invoer definieert het eerste gebruikte bit. |
|
Bitposities:";"Veuillez entrer la position du bit [1..8] |
|
La position du bit doit être spécifiée au centre de contrôle pour contrôler la fonction. |
Attention: Avec certaines fonctions, plusieurs bits sont occupés. L'entrée définit le premier bit utilisé. |
|
Positions des bits:";"Please enter the bit position [1..8] The bit position must be specified at the traincontroler to control the function. Caution: With some functions, several bits are occupied. The input defines the first bit used. Bit positions:";"Please enter the bit position [1..8] The bit position must be specified at the traincontroler to control the function. Caution: With some functions, several bits are occupied. The input defines the first bit used. Bit positions:";Indtast bitpositionen [1..8] || Bitpositionen skal specificeres ved traincontroller for at styre funktionen. | Advarsel: Med nogle funktioner er flere bits optaget. Inputet definerer den første bit, der er brugt. || Bitpositioner:
VBA;M03_Dialog 122;Bitposition eingeben;Enter bit position;Voer bitpositie in;Entrez la position du bit;Enter bit position;Enter bit position;Indtast bitposition
VBA;M03_Dialog 152;Falsche Eingabe. Die Bitposition muss zwischen 1 und 8 liegen. ;Wrong entry. The bit position must be between 1 and 8.;Verkeerde invoer. De bitpositie moet tussen 1 en 8 liggen.;Mauvaise entrée. La position du bit doit être comprise entre 1 et 8.;Wrong entry. The bit position must be between 1 and 8.;Wrong entry. The bit position must be between 1 and 8.;Forkert indrejse. Bitpositionen skal være mellem 1 og 8.
VBA;M03_Dialog 152;"Startwert des Eingangs eingeben|
|
Der Startwert bestimmt das Verhalten nach dem Einschalten in Verbindung mit DCC, CAN oder Selectrix. |
Normalerweise sind die Funktionen beim Start deaktiviert. Erst wenn der erste ";"Enter the start value of the input |
|
The start value determines the behavior after switching on in connection with DCC, CAN or Selectrix. |
Normally the functions are deactivated at the start. Only when the first ";"Voer de startwaarde van de ingang in |
|
De startwaarde bepaalt het gedrag na het inschakelen in combinatie met DCC, CAN of Selectrix. |
Normaal zijn de functies bij de start gedeactiveerd. Alleen als het eerste ";"Entrer la valeur de départ de l'entrée |
|
La valeur de départ détermine le comportement après la mise en marche en liaison avec DCC, CAN ou Selectrix. |
Normalement, les fonctions sont désactivées au démarrage. Seulement lorsque le premier ";"Enter the start value of the input The start value determines the behavior after switching on in connection with DCC, CAN or Selectrix. Normally the functions are deactivated at the start. Only when the first ";"Enter the start value of the input The start value determines the behavior after switching on in connection with DCC, CAN or Selectrix. Normally the functions are deactivated at the start. Only when the first ";Indtast startværdien for input || Startværdien bestemmer opførslen efter tænding i forbindelse med DCC, CAN eller Selectrix. | Normalt deaktiveres funktionerne ved starten. Kun når den første
VBA;M03_Dialog 158;" Einschaltbefehl von der Zentrale kommt wird die Zeile aktiviert. |
Wenn eine bestimmte Funktion bereits beim Einschalten der Anlage einen definierten Wert haben soll kann das über den Startwert vorgegeben werden. Die meisten Funktionen haben einen Eingang mit dem sie Ein- oder Ausgeschaltet werden. Hier wird eine 1 zum Einschalten angegeben.|
Bei Funktionen mit mehreren Eingängen (z.B. Signale) ist der Wert ist Bitkodiert. Hier wird der erste Eingang mit einer 1, zweite Eingang mit einer 2 und der dritte Eingang mit einer 4 aktiviert.|
|
Startwert:  (Keine Eingabe wenn nicht benötigt)";" command is received from the traincontroller the line is activated. |
If a certain function should already have a defined value when the system is switched on, this can be specified via the start value. Most functions have an input with which they can be switched on or off. A 1 is specified here for switching on. |
For functions with multiple inputs (e.g. signals), the value is bit-coded. Here the first input is activated with a 1, the second input with a 2 and the third input with a 4. |
|
Start value: (No entry if not required)";" commando door de centrale wordt gestuurd wordt de lijn geactiveerd. |
Als een bepaalde functie bij het inschakelen al een gedefinieerde waarde zou moeten hebben kan dit worden opgegeven via de startwaarde. De meeste functies hebben een ingang waarmee ze kunnen worden in- of uitgeschakeld. Hier wordt een 1 gespecificeerd voor het inschakelen. |
Voor functies met meerdere ingangen (bijv. Signalen) wordt de waarde bit-gecodeerd. Hier wordt de eerste ingang geactiveerd met een 1, de tweede ingang met een 2 en de derde ingang met een 4. |
|
Startwaarde: (geen invoer indien niet vereist)";" commande est activée par le centre de contrôle et la ligne est activée. |
Si une certaine fonction doit déjà avoir une valeur définie lorsque le système est allumé, cela peut être spécifié via la valeur de départ. La plupart des fonctions ont une entrée avec laquelle elles peuvent être activées ou désactivées. Un 1 est spécifié ici pour la mise sous tension. |
Pour les fonctions avec plusieurs entrées (par exemple des signaux), la valeur est codée en bits. Ici, la première entrée est activée avec un 1, la deuxième entrée avec un 2 et la troisième entrée avec un 4. |
|
Valeur de départ: (Aucune entrée si non requise)";" command is received from the traincontroller the line is activated. If a certain function should already have a defined value when the system is switched on, this can be specified via the start value. Most functions have an input with which they can be switched on or off. A 1 is specified here for switching on. For functions with multiple inputs (e.g. signals), the value is bit-coded. Here the first input is activated with a 1, the second input with a 2 and the third input with a 4. Start value: (No entry if not required)";" command is received from the traincontroller the line is activated. If a certain function should already have a defined value when the system is switched on, this can be specified via the start value. Most functions have an input with which they can be switched on or off. A 1 is specified here for switching on. For functions with multiple inputs (e.g. signals), the value is bit-coded. Here the first input is activated with a 1, the second input with a 2 and the third input with a 4. Start value: (No entry if not required)";kommando modtages fra traincontroller linjen er aktiveret. | Hvis en bestemt funktion allerede skal have en defineret værdi, når systemet er tændt, kan dette specificeres via startværdien. De fleste funktioner har et input, som de kan tændes eller slukkes for. En 1 er specificeret her for at tænde. | For funktioner med flere indgange (f.eks. Signaler) er værdien bitkodet. Her aktiveres den første indgang med en 1, den anden indgang med en 2 og den tredje indgang med en 4. || Startværdi: (Ingen indtastning, hvis ikke påkrævet)
